2020-12-14 23:59:58+00:00,MerlinofCanada,"#COVID19 claims 49 lives in #BC over the weekend, Province recorded 2,146 new cases over 3 days between Friday and Monday. Its been 27 days since @jjhorgan invoked mandatory masks to little to late need a Circuit Breaker. https://t.co/mIpAJ9KtHj https://t.co/oS0hX9KJSR"
2020-12-14 23:59:56+00:00,ReporteYa,"#14Dic #Coronavirus #Caracas
@CarlosJRojas13: ""Comerciantes del mercado #LaHoyada trancaron #AvUniversidad en protesta porque Policia de #Caracas ordenó cerrar locales aduciendo controles del #Covid19

¡Impide a comercios trabajar pero autorizan rumbones de la #RutaNocturna!"" https://t.co/fMlwCIkU3T"
2020-12-14 23:59:55+00:00,iStartNews,"The forced acceleration of digital maturity will increase investment across major transformational, consulting and integration projects says @IDCAustralia @IDCNewZealand #Covid19 #MarketRecovery https://t.co/4VPW3FEuoV https://t.co/YgFSZzq34P"
2020-12-14 23:59:54+00:00,sam_oputa,https://t.co/yywo4qMZop … … #link to my #books #mondayreport #SNL #model #Biden #lockdownitalia  #Trump2020 #BrexitShambles #SiguemeYTeSigo #Christmas #Covid_19 #COVID19 #BookBoost  #FarmersProtestHijacked #China #like #likee #BookReview #life #lockdown #lockdownitalia  #gifts/
2020-12-14 23:59:54+00:00,Unfreakin,".@jim_jordan:  This is pervert Jordan encouraging people to take a risk and get infected with a deadly virus.   #Covid19 for Christmas - maybe you get infected, maybe you die - what is for sure is that Jim Jordan doesn't give a damn what happens to you. https://t.co/T0vmLT8eMp"
2020-12-14 23:59:53+00:00,frequentbuyer1,"I’m so tired of watching people I love deal with effects of #COVID19. 💔 Y’all, please do all you can to #StopTheSpread #WearAMask https://t.co/5SgiZg3QMK"
2020-12-14 23:59:52+00:00,xevtfm,"#ÚltimoMinuto 🦠Reporta la @SSalud_Tab 231 casos positivos de #COVID19, así como 1,031 negativos en las últimas 24 horas https://t.co/Mp1RTOguEw"
2020-12-14 23:59:50+00:00,C0vid19Exposed,Never thought people could be so selfish until this pandemic struck - too many have shown a total disregard for fellow humans - so many deaths so much hardship could have been avoided and will mean that an effective recovery from this whole situation will take longer #COVID19
2020-12-14 23:59:44+00:00,providence_phc,"Thank you, Spokane County! Watch a message of thanks from those on the front lines.
#inlandstrong #fornow #covid19 #MaskUpWA #kindnessNotCOVID #ForNowNotForever

https://t.co/T0p66P8i0d"
2020-12-14 23:59:44+00:00,ProvidenceWW,"Thank you, Spokane County! Watch a message of thanks from those on the front lines.
#inlandstrong #fornow #covid19 #MaskUpWA #kindnessNotCOVID #ForNowNotForever

https://t.co/Z3Uk5Ludy7"
2020-12-14 23:59:42+00:00,RussellSChrist2,Give $2000/month to every American #moneyforthepeople #covid19 - Sign the Petition! https://t.co/I2QhL8VwQc via @Change
2020-12-14 23:59:41+00:00,SAPaluzzi,Got word that I will likely be able to get the vaccine by next week. Inject it straight into my neck with a blow dart. Just give it to me! I. DO. NOT. CARE. 💉 #COVID19 #CovidVaccine
2020-12-14 23:59:40+00:00,GlobalPandemics,"ALERT: Over 150 Minnesota businesses plan to defy COVID-19
restrictions - Global Pandemic News | #Coronavirus #COVID19 #Protests - https://t.co/3CSk0O57xf https://t.co/1ZBoTjPONc"
2020-12-14 23:59:34+00:00,lvheilig,It should be “If you’re a hcp that provided direct patient care and worked during the COVID19 Pandemic without adequate PPE you may be entitled to compensation.” #nursing #medicine #COVID19 https://t.co/VU8zPV5SXA
2020-12-14 23:59:31+00:00,hfayeweaver176,#Arkansas #COVID19 https://t.co/kbH0W4Ixmg
2020-12-14 23:59:31+00:00,Thmis36335922,"Question pertinente qui mérite réponse @jmblanquer @olivierveran 
Elle pourrait bien être posée par un juge un jour.
@cncdh @defenseurdesdroits 
#Covid_19 #ecole #enfants #COVID19 #COVID19france https://t.co/0SSk74hsMp"
2020-12-14 23:59:30+00:00,CliffviewPilot,"A Sussex County man who collected $5.6 million in federal COVID-19 pandemic loans that he wasn't entitled to was about to board a flight to Pakistan when federal agents arrested him, authorities said. #dailyvoice #dvpilot #ppp #pandemicloan #covid19 https://t.co/M4HOBl6h4T"
2020-12-14 23:59:30+00:00,Halfdunn7,👇🇨🇦@MarjoriePaulso8 @DarrylArsenault @ElevatedMonkey @WilliamMcwhirt8 Remember #Canada #TrudeauCorruption #COVID19 is a #GlobalistScam #Patriots https://t.co/Fmqm71QryG https://t.co/GmCLIOuuG0
2020-12-14 23:59:30+00:00,GaBbNnia,"👇👇👇

#COVID19 #confinamiento #Plandemia https://t.co/uRDogC3Xar"
2020-12-14 23:59:30+00:00,ElaThier,"Dear @AlbertBourla, @sbancel &amp; #PascalSoriot,  9/10 people in poor countries are going to MISS OUT on a #COVID19 vaccine next year. Will @Pfizer, @BioNTech_Group @moderna_tx &amp; @AstraZeneca #JoinCTAP to ensure that everyone everywhere can be safe? We need a #PeoplesVaccine"
2020-12-14 23:59:30+00:00,DrAnthony,This 5-step management plan will help a remote employee who consistently fails to perform https://t.co/CPF3OiG51L #Monday #mondayreport #mondaythoughts #Career #Jobs #work #business #HumanResources #COVID19 #Covid_19 #Corona #coronavirus #pandemic #Pandemie #pandemia
2020-12-14 23:59:29+00:00,ChagualDigital,"#COVID19: El centro asistencial porteño será parte de ensayo clínico en fase 3 de la formulación, desarrollada por el laboratorio Sinovac y https://t.co/XAZz399z5x"
2020-12-14 23:59:27+00:00,nocheapthing,"@PaulCogan @TIREDOFTRUMP8 Maybe we Americans should heed the advice of Dutch PM Rutte?  ""Bite through this sour apple"" #COVID19 so things can get before."
2020-12-14 23:59:21+00:00,FriarDale,"The Night Prayer:
Lighten my darkness, Lord. Let the light of Your presence dispel the shadows of night.

#pray 4 #Ethiopia #Nigeria #Germany #UK #France #lockdown #NYC #DC #COVID19 #vaccine #USA #homeless #Chattanooga #christians in #China #Sudan #Iran #Iraq 
#Jesus #help #hope https://t.co/ei1TaHZs3T"
2020-12-14 23:59:21+00:00,Vizitei,#COVID19 #COVIDIOTS #TrumpVirus https://t.co/37D8lEgkpn
2020-12-14 23:59:21+00:00,lyndakelly61,"The COVID Classroom Part 2: How do teachers feel about remote learning? #data via @unimelb ping
@moadlearning #museumeval #teachervoice #aussieed #remotelearning #digitialclassroom #COVID19 https://t.co/qjl5wBZryk"
2020-12-14 23:59:20+00:00,RonanKelly13,"Tennessee: George Butler was the Franklin County School System’s longest serving employee. ""Everybody knew him. He’s the only principal North Lake has ever had. It’s a major tragedy losing Mr. George Butler.” #Covid19 #Coronavirus
https://t.co/nWR57aHLqa"
2020-12-14 23:59:20+00:00,Anderrsonss3333,"O professor Agur Sahin, diz: Vida normal, somente em 2022.

Ou seja, continuar com os mesmos cuidados: máscaras, distanciamento, lavar as mãos e se possível, ficar em casa. #covid19 #pandemia

https://t.co/x5VuUtpJo3"
2020-12-14 23:59:20+00:00,phfactcheckers,"Here are some common #myths and #truths about #vaccines, and specifically about the #COVID19 #vaccine.
#Covid_19 #Canada https://t.co/O5XwOE461c"
2020-12-14 23:59:19+00:00,oscaratienza,"30 muertos en Córdoba, sigue la cifra altísima.
Situación #COVID19 en Argentina
Confirmados: 5.062 | Total: 1.503.222
Fallecidos: 275 | Total: 41.041
Ocupación camas UTI: 3478
Porcentaje ocupación total camas UTI adulto:
- Nación: 54,2%
- AMBA: 57,9% https://t.co/MUWAnJ0syt"
2020-12-14 23:59:17+00:00,Khosann,Bazı zeki beyinler de yağmur duasına çıktık yağmur yağdı diyor. Bunlara boş verin de oy attıklarınız veya muhalif olduklarınızdan esnaf başına 500 bin TL #Covid19 desteği isteyin. Çene suyuna ot pişirmek...
2020-12-14 23:59:16+00:00,ShowMus83508092,"@Booboox8 @Theatregleek1 No venue can be 100% secure, but entertainment venues and museums have tighter protocols than shops, and few if any major #COVID19 transmissions have been traced to theatres or cinemas. There is a sense they are scapegoats..."
